Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2025-07-07 17:34:43 UTC,211,afc52d6b-e9cd-412f-8025-9926540ac5c5,Devin,Neal,NO,RB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:32:36 UTC,198,ab78a171-01c4-457c-aa8c-7fd835bff986,Anthony,Richardson,IND,QB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:30:51 UTC,187,9d27c511-89bc-4129-a079-334b7b3be97f,Tyler,Shough,NO,QB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:28:49 UTC,174,5187785b-3707-4207-aee0-a55778dfb9a1,DJ,Giddens,IND,RB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:26:56 UTC,163,63cbde87-5fd3-410c-9c64-2185510182ef,DeMario,Douglas,NE,WR,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:25:14 UTC,150,91edd6d6-bd65-4571-8713-41fc3cd2eb92,Tank,Bigsby,JAX,RB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:23:33 UTC,139,e4a0d065-ce78-4bf8-8e8e-ecce74e7e30c,Jaydon,Blue,DAL,RB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:21:28 UTC,126,1a3c579b-489d-476c-8e92-96396daccfa2,Dak,Prescott,DAL,QB,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:19:47 UTC,115,e35cb821-a7ae-41d8-a7c1-3fb43082b786,Christian,Kirk,HOU,WR,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
2025-07-07 17:18:18 UTC,102,8c7f9176-18b8-4f59-bc46-2c14a60bfed8,Rashid,Shaheed,NO,WR,c96c9819-edbf-4b82-a8e9-a4d70565a034,049655f9-cd0d-4950-8074-ce623b0aafcb,,12,,The Dachshund,a052db91-d10d-4f7e-a62e-26a1551c4a53,8.0,200000.0,28080,,,,,,,,,,
