NFLNewsID,Season,Split,GamesPlayed,team,firstname,lastname,position,PassAtt,PassComp,PassYard,PassTD,PassInt,RushAtt,RushYard,RushTD,Targets,Receptions,RecYard,RecTD
4307,2026,C,17,PIT,Aaron,Rodgers,QB,617.3362735,397.5616331,4095.518804,27.26394452,10.72296257,48.52574403,213.9917927,0.449995393,0,0,0,0
4307,2026,F,6,PIT,Aaron,Rodgers,QB,185.1166094,120.6841295,1254.522775,8.377431347,3.215424976,7.095168974,16.2474738,0,0,0,0,0
4307,2026,M,12,PIT,Aaron,Rodgers,QB,403,261,2700,18,7,22.82758856,80.32467992,0.09986566,0,0,0,0
5648,2026,C,3,CIN,Joe,Flacco,QB,111.0167256,70.70609895,711.6968653,4.770701055,3.217876105,4.860213166,22.26363328,0.070214104,0,0,0,0
5648,2026,F,1,CIN,Joe,Flacco,QB,31.99442479,20.43130035,210.7677116,1.409766315,0.927374632,0.239281739,0.024121522,0,0,0,0,0
5648,2026,M,2,CIN,Joe,Flacco,QB,69,44,448,3,2,1.575267115,5.766226028,0.014525494,0,0,0,0
5653,2026,C,1.5,CIN,Josh,Johnson,QB,45.05026547,27.3182655,279.5951971,1.590233685,1.608938053,2.028308831,10.47153862,0.062941041,0,0,0,0
5653,2026,F,0.5,CIN,Josh,Johnson,QB,12.98324484,7.893911499,82.80160097,0.469922105,0.463687316,0.098989426,0.346369952,0,0,0,0,0
5653,2026,M,1,CIN,Josh,Johnson,QB,28,17,176,1,1,0.656228593,3.165190933,0.01385366,0,0,0,0
5971,2026,C,17,LA,Matthew,Stafford,QB,608.999532,390.0380785,4589.187527,36.36389519,12.68749025,62.13505668,206.7154477,0.544617411,0,0,0,0
5971,2026,F,12,LA,Matthew,Stafford,QB,241.4119849,159.4526689,1873.38234,14.88757873,5.029416353,16.67412972,0.55804121,0,0,0,0,0
5971,2026,M,16,LA,Matthew,Stafford,QB,528,343,4033,32,11,37.62418212,75.65969356,0.183933855,0,0,0,0
7355,2026,C,1.5,PHI,Andy,Dalton,QB,53.68013281,33.75686537,333.8881033,1.61647193,1.626670691,3.734801655,20.13236541,0.059122804,0,0,0,0
7355,2026,F,0.5,PHI,Andy,Dalton,QB,15.1066224,9.747711544,96.70396556,0.461176023,0.457776436,0.061793879,0,0,0,0,0,0
7355,2026,M,1,PHI,Andy,Dalton,QB,33,21,208,1,1,1.045402186,4.599181938,0.012951832,0,0,0,0
7357,2026,C,1.5,NULL,Tyrod,Taylor,QB,52.06452609,32.19273102,329.7039381,1.612933993,1.62701644,2.929789439,14.96205229,0.1325375,0,0,0,0
