"","playerID","year","team","games","rush_att","rush_yards","rush_avg","rush_td","receptions","rec_yards","rec_avg","yds_targ","rec_td","pass_att","pass_comp","pass_td","pass_yards","int_thrown","pass_avg","xp_att","xp_made","fg_att","fg_made","int_caught","tackles","sacks","fumble_rec","ret_td","targets","rz_targets","rz_rushes","rz_pass","rz_pass10","rz_pass5","pass20","pass40","rz_rush10","rz_rush5","rush20","rush40","rushStuff","rz_targets10","rz_targets5","targetsPen","rec20","rec40","fga29","fgm29","fga30","fgm30","fga40","fgm40","fga50","fgm50","total_tackles","assists","fumbles_forced","pass_defensed","offsnaps","defsnaps","stsnaps","passing300","passing350","passing400","rushing100","rushing150","rushing200","receiving100","receiving150","receiving200","fumbles","fumblesLost","sacksTaken","KickReturnYards","KickReturnTD","PuntReturnYards","PuntReturnTD","age","YPA","YPT","YPR","position","Rate","AVG","Max"
"1",98,2011,"Ind",3,2,-1,-0.5,0,0,0,0,0,0,98,48,2,481,1,4.90816307067871,0,0,0,0,0,0,0,0,0,0,0,0,16,8,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,0,0,0,0,38,4.90816326530612,0,-0.5,"QB",0,7.65,10.45
"2",312,2011,"NYJ",16,0,0,0,0,0,0,0,0,0,3,1,0,27,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,9,0,0,"QB",0,0.084375,1.35
"3",721,2011,"Atl",16,0,0,0,0,80,875,10.9375,7.54310321807861,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,22,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,35,0,7.54310344827586,0,"TE",9,10.6,23.8
"4",777,2011,"Dal",3,3,-2,-0.666666686534882,0,0,0,0,0,0,10,6,1,87,2,8.69999980926514,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,8.7,0,-0.666666666666667,"QB",0,2.05,6.35
"5",797,2011,"Hou",7,0,0,0,0,6,55,9.16666698455811,4.23076915740967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,4.23076923076923,0,"WR",0,2.20833333333333,7.5
"6",797,2011,"NYJ",5,0,0,0,0,13,115,8.84615421295166,5.22727251052856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,5.22727272727273,0,"WR",0,2.20833333333333,7.5
"7",945,2011,"Pit",4,3,-2,-0.666666686534882,0,0,0,0,0,0,24,15,0,208,1,8.66666698455811,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,36,8.66666666666667,0,-0.666666666666667,"QB",0,2.3,9.4
"8",949,2011,"Ten",16,20,52,2.59999990463257,0,0,0,0,0,0,518,319,18,3571,14,6.89382219314575,0,0,0,0,0,0,0,0,0,0,0,0,60,21,9,39,9,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,1,19,0,0,0,0,35,6.89382239382239,0,2.6,"QB",1,14.609375,22.75
"9",1023,2011,"Pit",15,0,0,0,0,46,381,8.28260898590088,6.0476188659668,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,9,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,35,0,6.04761904761905,0,"WR",1,4.44375,20.9
"10",1125,2011,"Min",6,14,59,4.2142858505249,1,0,0,0,0,0,156,94,4,1026,2,6.57692289352417,0,0,0,0,0,0,0,0,0,0,0,6,28,6,4,14,3,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,16,0,0,0,0,35,6.57692307692308,0,4.21428571428571,"QB",0,12.2,15.1
