Picked At,Pick Number,Appearance,First Name,Last Name,Team,Position,Draft,Draft Entry,Draft Entry Fee,Draft Size,Draft Total Prizes,Tournament Title,Tournament,Tournament Entry Fee,Tournament Total Prizes,Tournament Size,Draft Pool Title,Draft Pool,Draft Pool Entry Fee,Draft Pool Total Prizes,Draft Pool Size,Weekly Winner Title,Weekly Winner,Weekly Winner Entry Fee,Weekly Winner Total Prizes,Weekly Winner Size
2026-03-09 17:26:17 UTC,219,4e8b6a26-f015-4ac3-9614-43d47a520e45,Emanuel,Wilson,SEA,RB,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-12 17:41:17 UTC,31,a79dba5d-c547-4640-a5c8-4aef963b18e4,Travis,Etienne Jr.,NO,RB,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-18 04:54:24 UTC,72,ed1c88f0-ae86-4b31-91d8-177b0aae730d,Tyler,Warren,IND,TE,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-19 00:12:16 UTC,63,c3d66be9-8247-4c7b-81e7-6d6df8b7c120,Joe,Burrow,CIN,QB,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-28 21:06:30 UTC,2,93457447-77e6-4549-9b82-e31a83dbafef,Ja'Marr,Chase,CIN,WR,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-11 03:40:38 UTC,121,74495a7e-40fd-4779-8599-af4dd40ec864,Brenton,Strange,JAX,TE,c00dcd3a-975b-4fca-81fb-74c6d7071add,3ec15792-a5bf-48db-9d68-2502f0fda271,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-19 00:34:32 UTC,207,4e8b6a26-f015-4ac3-9614-43d47a520e45,Emanuel,Wilson,SEA,RB,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-19 00:37:15 UTC,73,006dd79c-dead-4677-8d43-3b699d57d7c7,Trevor,Lawrence,JAX,QB,8b3ee1cc-5646-487a-a7d4-195e1ac59cf3,e84dd89f-888a-4393-a64f-3b83019b8cd5,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-03-12 17:59:33 UTC,138,d1acaad7-989a-4ef1-b2af-3d7c8fb104ea,Bryce,Young,CAR,QB,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-01 15:58:27 UTC,79,ed1c88f0-ae86-4b31-91d8-177b0aae730d,Tyler,Warren,IND,TE,371f173a-8add-44fc-8c56-0cbf5738c83f,3adee8e2-1269-4eb0-a387-75b8d3d9567f,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-05 19:46:08 UTC,217,4e8b6a26-f015-4ac3-9614-43d47a520e45,Emanuel,Wilson,SEA,RB,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-11 03:52:59 UTC,216,f664cfe3-c377-4cc9-89b4-8cc2938ea033,Ollie,Gordon,MIA,RB,c00dcd3a-975b-4fca-81fb-74c6d7071add,3ec15792-a5bf-48db-9d68-2502f0fda271,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-02-26 12:50:12 UTC,145,f3ef5105-c46a-438a-99cb-180989aed594,Jalen,McMillan,TB,WR,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-01-30 17:51:31 UTC,5,eec15e8b-2a0d-4693-98b9-a64aeaf975d6,Jahmyr,Gibbs,DET,RB,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-19 00:30:22 UTC,178,64d033c2-2401-4f22-8244-a19610338546,Nicholas,Singleton,,RB,d53c8477-9da5-4ce1-be6f-0eff8db19e08,d5c2f35a-5fda-4493-8a30-ea1b544a00eb,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
2026-01-30 18:09:59 UTC,116,d866415f-1e04-46b0-b3c8-a7dcfcf10fb0,Jayden,Higgins,HOU,WR,e0b467d9-730f-4d0e-9d35-0158db14de20,c1033cdf-f029-43b6-b8ab-bbf1f1d130f3,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-09 17:02:55 UTC,75,e245a361-7d5e-43d6-9ed0-f17469b25459,Ricky,Pearsall,SF,WR,2b8f6727-217c-42e2-8fb4-9bdcf77d2db6,c8e065c9-083e-4b90-8c96-fe3333697644,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-16 01:18:22 UTC,48,be1270d5-0970-47e5-ae48-9a3fc9266d02,Jaylen,Waddle,DEN,WR,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-03-12 18:03:34 UTC,162,dd6719eb-1465-4a8c-82ad-4ed1b19468c8,Jacoby,Brissett,ARI,QB,b7317ea3-957a-4f34-8897-90c59a3a35f3,a79c3111-74b3-4f65-a182-923b718cbabb,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-21 04:49:34 UTC,97,0c3af97a-d800-4e73-aa0d-7eaa10d9aa91,Xavier,Worthy,KC,WR,33146654-070e-4d3e-8806-97ef5a6d2064,d3501611-1cce-47dc-ae9a-1a1c20291853,,12,,The Little Board,bd240943-36bf-459c-9c89-7d70301a50ac,3,500000,189000,,,,,,,,,,
2026-02-28 21:39:17 UTC,239,82e5a019-bf29-4434-ab1e-710382655a66,Ty,Simpson,,QB,e9db9787-0327-40e7-9ae4-156c08c7376c,d5389839-90c7-442d-ad91-603b26fa55b0,,12,,The Big Board,20b6d363-f4e6-472a-be06-871d6b3e5a14,10,2000000,223200,,,,,,,,,,
